African	Africans
sacrifice	sacrifices,sacrificing,sacrificed
sad	sadly,sadder,saddest
sadly	sadder,sad,saddest
safe	safest,safer,safely,safes
sail	sailed,sails,sailing
sailing	sailings
sailor	sailors
salad	salads
salary	salaries
sale	sales
salesman	salesmen
saleswoman	saleswomen
salt	salted,salts,salting
salty	saltier,saltiest
salute	saluting,saluted,salutes
sand	sands,sanding,sanded
sandwich	sandwiched,sandwiches,sandwiching
satellite	satellites
satisfaction	satisfactions
satisfy	satisfies,satisfying,satisfied
sauce	sauced,saucing,sauces
saucer	saucers
sausage	sausages
savage	savagely,savaging,savaged,savages
save	saves,saving,saved
say	saying,said,says
saying	sayings
scan	scanning,scans,scanned
scar	scarring,scars,scarred
scare	scared,scaring,scares
scarf	scarves,scarfs
scene	scenes
sceptical	sceptically
schedule	scheduling,scheduled,schedules
scholar	scholars
scholarship	scholarships
school	schools,schooling,schooled
schoolboy	schoolboys
schoolmate	schoolmates
science	sciences
scientific	scientifically
scientist	scientists
scold	scolded,scolds,scolding
score	scoring,scored,scores
scores	scoring,scored,score
scratch	scratching,scratched,scratches
scream	screamed,screaming,screams
screen	screens,screening,screened
sculpture	sculptured,sculpturing,sculptures
sea	seas
seafood	seafoods
seagull	seagulls
seal	sealing,sealed,seals
seaman	seamen
search	searches,searching,searched
seashell	seashells
seaside	seasides
season	seasoning,seasons,seasoned
seat	seating,seats,seated
seaweed	seaweeds
second	seconds,seconding,seconded
secret	secrets,secretly
secretary	secretaries
section	sections
secure	secured,securing,securely,secures
security	securities
see	seen,saw,sees,seeing
seed	seeded,seeding,seeds
seek	sought,seeks,seeking
seem	seems,seeming,seemed
seize	seizing,seizes,seized
select	selecting,selected,selects
self	selves
selfish	selfishly
sell	sold,selling,sells
seller	sellers
semicircle	semicircles
seminar	seminars
send	sends,sending,sent
senior	seniors
sense	sensing,senses,sensed
sensitive	sensitively
sentence	sentencing,sentenced,sentences
separate	separately,separating,separated,separates
separately	separating,separated,separates,separate
separation	separations
serious	seriously
servant	servants
serve	served,serving,serves
service	services,servicing,serviced
session	sessions
set	setting,sets
settle	settling,settled,settles
settlement	settlements
settler	settlers
several	severally
severe	severer,severest,severely
sew	sewn,sewing,sewed,sews
sex	sexed,sexing,sexes
shabby	shabbiest,shabbily,shabbier
shade	shading,shaded,shades
shadow	shadows,shadowing,shadowed
shake	shook,shakes,shaking,shaken
shallow	shallowed,shallowest,shallowing,shallower,shallows
shame	shaming,shamed,shames
shape	shapes,shaping,shaped
share	shared,sharing,shares
shark	sharks
sharp	sharpest,sharper,sharply,sharps
sharpen	sharpening,sharpened,sharpens
sharpener	sharpeners
shave	shaves,shaving,shaved,shaven
shaver	shavers
sheet	sheets
shelf	shelves
shelter	sheltering,sheltered,shelters
shepherd	shepherding,shepherds,shepherded
shine	shines,shone,shining
ship	ships,shipped,shipping
shirt	shirts
shock	shocking,shocked,shocks
shoe	shoeing,shod,shoes
shoot	shoots,shooting,shot
shooting	shootings
shop	shopped,shops,shopping
shopkeeper	shopkeepers
shopping	shop,shopped,shops
shore	shores,shoring,shored
short	shortly,shorted,shorts,shorter,shorting,shortest
shortcoming	shortcomings
shortly	short,shorted,shorts,shorter,shorting,shortest
shorts	short,shortly,shorted,shorter,shorting,shortest
shot	shots
shoulder	shouldered,shoulders,shouldering
shout	shouts,shouting,shouted
show	showing,shows,shown,showed
shower	showered,showering,showers
showery	showeriest,showerier
shrink	shrunk,shrank,shrinking,shrinks
shut	shuts,shutting
shuttle	shuttled,shuttling,shuttles
shy	shying,shied,shyer,shyly,shyest,shies
sick	sicks,sicking,sicked
sickness	sicknesses
side	sided,siding,sides
sidewalk	sidewalks
sigh	sighing,sighed,sighs
sight	sights,sighting,sighted
sign	signing,signed,signs
signal	signals,signally,signalled,signalling
signature	signatures
silence	silences,silencing,silenced
silent	silently
silently	silent
silk	silks
silly	silliest,sillies,sillier
silver	silvered,silvering,silvers
similar	similarly
simple	simplest,simply,simples,simpler
simplify	simplifies,simplifying,simplified
simply	simple,simplest,simples,simpler
sincerely	sincere
sing	sings,sang,singing,sung
singer	singers
single	singles,singling,singly,singled
sink	sinking,sunk,sank,sinks
sir	sirs
sister	sisters
sit	sat,sits,sitting
situation	situations
size	sized,sizing,sizes
skate	skating,skated,skates
skateboard	skateboards
ski	skis,skiing
skill	skills
skin	skinning,skins,skinned
skip	skipping,skipped,skips
skirt	skirted,skirts,skirting
sky	skied,skies,skying
skyscraper	skyscrapers
slave	slaved,slaving,slaves
sleep	slept,sleeps,sleeping
sleepy	sleepier,sleepiest,sleepily
sleeve	sleeves
slice	sliced,slicing,slices
slide	slides,sliding,slid
slight	slighter,slightest,slighting,slights,slightly,slighted
slim	slimmest,slimmed,slimming,slimmer,slims,slimly
slip	slips,slipping,slipped
slipper	slippers
slow	slows,slower,slowing,slowed,slowly,slowest
slowly	slows,slower,slowing,slowed,slow,slowest
small	smalls,smallest,smaller
smart	smarts,smartly,smartest,smarter,smarting,smarted
smell	smelled,smelt,smells,smelling
smelly	smellier,smelliest
smile	smiles,smiling,smiled
smog	smogs
smoke	smoking,smoked,smokes
smoker	smokers
smoking	smoked,smokes,smoke
smooth	smoothly,smooths,smoother,smoothing,smoothest,smoothed
snack	snacks
snake	snaked,snakes,snaking
snatch	snatches,snatched,snatching
sneeze	sneezes,sneezing,sneezed
snow	snowed,snowing,snows
snowball	snowballs,snowballing,snowballed
snowman	snowmen
snowy	snowiest,snowier
soap	soaped,soaping,soaps
sob	sobbing,sobbed,sobs
social	socials,socially
socialist	socialists
society	societies
sock	socked,socks,socking
socket	sockets
sofa	sofas
soft	softer,softly,softest
soil	soiled,soiling,soils
soldier	soldiering,soldiered,soldiers
solid	solids,solidly
solve	solved,solving,solves
son	sons
song	songs
sorrow	sorrows,sorrowing,sorrowed
sorry	sorrier,sorriest
sort	sorted,sorts,sorting
soul	souls
sound	sounds,sounding,sounded,soundly
soup	souping,souped,soups
sour	sours,sourly,soured,souring
souvenirs	souvenir
sow	sows,sowing,sown,sowed
space	spacing,spaces,spaced
spaceship	spaceships
spade	spading,spades
spare	sparing,spared,sparely,spares
sparrow	sparrows
speak	spoke,spoken,spake,speaks,speaking
speaker	speakers
spear	spears,spearing,speared
special	specials,specially
specialist	specialists
speech	speeches
speed	speeded,sped,speeds,speeding
spell	spelt,spelling,spelled,spells
spelling	spellings
spend	spending,spent,spends
spill	spilled,spills,spilt,spilling
spin	spun,span,spinning,spins
spirit	spirited,spiriting,spirits
spiritual	spirituals,spiritually
spit	spits,spat,spitting
splendid	splendidly
split	splitting,splits
spoil	spoilt,spoils,spoiling,spoiled
spoken	spoke,spake,speaks,speaking,speak
spoon	spoons,spooning,spooned
spoonful	spoonfuls
sport	sporting,sported,sports
spot	spotted,spotting,spots
spray	sprays,spraying,sprayed
spread	spreading,spreads
spring	springing,sprung,sprang,springs
spy	spied,spying,spies
square	squarely,squaring,squared,squares
squeeze	squeezed,squeezing,squeezes
squid	squids
squirrel	squirrels
stable	stabled,stables,stabling
stadium	stadiums
staff	staffed,staffs,staffing
stage	staged,stages,staging
stain	stains,staining,stained
stair	stairs
stamp	stamps,stamping,stamped
stand	standing,stood,stands
standard	standards
star	starred,starring,stars,staring
stare	stares,stared,staring
start	started,starts,starting
starve	starves,starving,starved
state	states,stating,stated
statement	statements
statesman	statesmen
station	stationed,stationing,stations
statistics	statistic
statue	statues
stay	staying,stays,stayed
steady	steadiest,steadied,steadying,steadily,steadies,steadier
steak	steaks
steal	stolen,stole,steals,stealing
steam	steaming,steamed,steams
steel	steels,steeling,steeled
steep	steeped,steeply,steepest,steeping,steeper
steer	steers,steering,steered
step	steps,stepped,stepping
steward	stewards
stewardess	stewardesses
stick	sticking,stuck,sticked,sticks
still	stiller,stilling,stills,stillest,stilled
stocking	stockings
stomach	stomached,stomachs,stomaching
stone	stones,stoning,stoned
stop	stopping,stopped,stops
stopwatch	stopwatches
store	storing,stored,stores
storm	storms,storming,stormed
story	stories
stout	stoutest,stouter,stoutly
stove	stoves
straight	straighter,straights,straightest
straightforward	straightforwardly
strait	straits
strange	strangest,strangely,stranger
stranger	strangers
strawberry	strawberries
stream	streaming,streamed,streams
street	streets
strength	strengths
strengthen	strengthened,strengthening,strengthens
stress	stresses,stressing,stressed
strict	stricter,strictest,strictly
strike	struck,strikes,striking
striker	strikers
string	strung,stringing,strings
strong	strongly,strongest,stronger
struggle	struggling,struggled,struggles
student	students
studio	studios
study	studying,studied,studies
stupid	stupidly
style	styles,styling,styled
subject	subjecting,subjects,subjected
subjective	subjectively
submit	submitted,submits,submitting
subscribe	subscribing,subscribed,subscribes
substitute	substituting,substituted,substitutes
succeed	succeeding,succeeded,succeeds
success	successes
successful	successfully
successfully	successful
suck	sucks,sucking,sucked
sudden	suddenly
suddenly	sudden
suffer	suffering,suffered,suffers
suffering	sufferings
sugar	sugared,sugars
suggest	suggesting,suggested,suggests
suggestion	suggestions
suit	suiting,suits,suited
suitable	suitably
suitcase	suitcases
suite	suites
summary	summarily,summaries
summer	summering,summers,summered
sun	suns,sunning,sunned
sunny	sunnily,sunniest,sunnier
sunrise	sunrises
sunset	sunsets
super	supers
superb	superbly
superman	supermen
supermarket	supermarkets
supper	suppers
supply	supplies,supplying,supplied
support	supporting,supported,supports
suppose	supposes,supposed,supposing
supreme	supremely
sure	surest,surer,surely
surf	surfed,surfing
surface	surfaces,surfacing,surfaced
surfing	surf,surfed
surgeon	surgeons
surplus	surpluses
surprise	surprises,surprising,surprised
surround	surrounds,surrounding,surrounded
surrounding	surrounds,surrounded,surround
survival	survivals
survive	survived,surviving,survives
suspect	suspected,suspects,suspecting
suspension	suspensions
swallow	swallowing,swallowed,swallows
swap	swapped,swaps,swapping
swear	swearing,swore,sworn,swears
sweat	sweating,sweated,sweats
sweater	sweaters
sweep	sweeping,sweeps,swept
sweet	sweetest,sweetly,sweeter,sweets
swell	swells,swelling,swelled,swollen
swift	swiftly,swifter,swifts,swiftest
swim	swam,swims,swum,swimming
swimming	swim,swam,swims,swum
swing	swings,swung,swinging
sword	swords
symbol	symbols
sympathy	sympathies
symptom	symptoms
system	systems
systematic	systematically
table	tables,tabling,tabled
tablet	tablets
tail	tails,tailing,tailed
tailor	tailors,tailored,tailoring
take	taken,taking,takes,took
tale	tales
talent	talents
talk	talks,talking,talked
tall	taller,tallest
tank	tanked,tanks,tanking
tanker	tankers
tap	tapping,taps,tapped
tape	taped,tapes,taping
target	targeted,targeting,targets
task	tasks,tasked,tasking
taste	tastes,tasted,tasting
tasteless	tastelessly
tasty	tastier,tastily,tastiest
tax	taxed,taxes,taxing
taxi	taxied,taxis,taxiing
taxpayer	taxpayers
tea	teas
teach	teaching,taught,teaches
teacher	teachers
team	teaming,teams,teamed
teapot	teapots
tear	tore,tears,tearing,torn
technical	technically
technique	techniques
technology	technologies
teenager	teenagers
telegram	telegrams
telegraph	telegraphing,telegraphed,telegraphs
telephone	telephoned,telephones,telephoning
telescope	telescoped,telescoping,telescopes
television	televisions
tell	telling,tells,told
temperature	temperatures
temple	temples
temporary	temporarily
temptation	temptations
tend	tending,tended,tends
tendency	tendencies
tense	tensely,tenses,tenser,tensing,tensed
tension	tensions
tent	tents
term	terms,terming,termed
terminal	terminals,terminally
terrible	terribly
terrific	terrifically
terrify	terrifies,terrifying,terrified
terror	terrors
test	tested,tests,testing,text
text	texts,test
textbook	textbooks
thank	thanking,thanked,thanks
thankful	thankfully
thanks	thanking,thanked,thank
thanksgiving	thanksgivings
theatre	theatres
theft	thefts
theme	themes
theoretical	theoretically
theory	theories
thermos	thermoses
thick	thickly,thicker,thickest
thief	thieves
thin	thinly,thinner,thins,thinning,thinnest,thinned
thing	things
think	thought,thinking,thinks
thinking	thought,think,thinks
thirst	thirsting,thirsted,thirsts
thirsty	thirstier,thirstiest,thirstily
thorough	thoroughly
thought	thoughts
thread	threading,threaded,threads
thrill	thrilled,thrilling,thrills
thriller	thrillers
throat	throats
throw	throwing,thrown,threw,throws
thunder	thundered,thundering,thunders
thunderstorm	thunderstorms
tick	ticked,ticks,ticking
ticket	tickets,ticketing,ticketed
tidy	tidied,tidiest,tidies,tidier,tidily,tidying
tie	ties,tied,tying
tiger	tigers
tight	tightest,tighter,tightly
till	tilled,tilling,tills
time	timed,timing,times
timetable	timetables
tin	tinned,tins,tinning
tiny	tiniest,tinier
tip	tipped,tips,tipping
tire	tires,tiring,tired
tired	tires,tiring,tire
tiresome	tiresomely
tissue	tissues
title	titles,titled
toast	toasts,toasting,toasted
tobacco	tobaccos
toe	toeing,toes,toed
toilet	toilets
tolerate	tolerated,tolerates,tolerating
tomato	tomatoes
tomb	tombs
tomorrow	tomorrows
ton	tons,tonning,tonned
tongue	tongues
tool	tools,tooling,tooled
tooth	teeth
toothbrush	toothbrushes
toothpaste	toothpastes
top	tops,topping,topped
topic	topics
tortoise	tortoises
total	totalled,totally,totalling,totals
totally	totalled,total,totalling,totals
touch	touches,touching,touched
tough	toughly,toughest,toughs,tougher
tour	tours,touring,toured
tourist	tourists
towel	towelling,towelled,towels
tower	towers,towering,towered
town	towns
toy	toyed,toying,toys
track	tracks,tracking,tracked
tractor	tractors
trade	traded,trades,trading
tradition	traditions
traditional	traditionally
traffic	traffics,trafficking,trafficked
train	training,trained,trains
trainer	trainers
training	train,trained,trains
tram	trams
transform	transforming,transformed,transforms
translate	translated,translating,translates
translation	translations
translator	translators
transparent	transparently
transport	transports,transporting,transported
trap	trapping,trapped,traps
travel	travels,travelled,travelling
traveller	travellers
treasure	treasured,treasures,treasuring
treat	treating,treated,treats
treatment	treatments
tree	trees,treeing
tremble	trembles,trembled,trembling
trend	trends,trending,trended
trial	trials
triangle	triangles
trick	tricks,tricking,tricked
trip	tripping,tripped,trips
troop	trooping,trooped,troops
trouble	troubling,troubled,troubles
trousers	trouser
truck	trucks
true	truest,trued,truing,trues,truer
trunk	trunks
trust	trusting,trusted,trusts
truth	truths
try	tries,trying,tried
tube	tubes
tune	tunes,tuning,tuned
turkey	turkeys
turn	turns,turned,turning
turning	turnings
twin	twinned,twinning,twins
twist	twists,twisting,twisted
type	typed,types,typing
typewriter	typewriters
typhoon	typhoons
typist	typists
tyre	tyres
ugly	uglier,ugliest
umbrella	umbrellas
unbelievable	unbelievably
uncertain	uncertainly
uncomfortable	uncomfortably
unconscious	unconsciouses,unconsciously
underground	undergrounds
underline	underlined,underlines,underlining
understand	understood,understands,understanding
understanding	understandings
undertake	undertaking,undertakes,undertook,undertaken
undo	undoing,undone,undoes,undid
unfair	unfairly
unfit	unfitting,unfits
unfold	unfolding,unfolded,unfolds
unfortunate	unfortunates,unfortunately
unfortunately	unfortunates,unfortunate
unhappy	unhappier,unhappily,unhappiest
uniform	uniforms,uniformly
union	unions
unit	units,unite
unite	uniting,united,unites,unit
universe	universes
university	universities
unknown	unknowns
unlucky	unluckily
unpleasant	unpleasantly
unsuccessful	unsuccessfully
unusual	unusually
unwilling	unwillingly
up	upped,upping,ups
update	updated,updating,updates
upper	uppers
upset	upsetting,upsets
urgent	urgently
use	using,used,uses
used	using,use,uses
useful	usefully
useless	uselessly
user	users
usual	usually
usually	usual
vacant	vacantly
vacation	vacationed,vacationing,vacations
vague	vaguest,vaguely,vaguer
vain	vainer,vainly,vainest
valid	validly
valley	valleys
valuable	valuables
value	valuing,valued,values
vanilla	vanillas
variety	varieties
various	variously
vase	vases
vast	vastly
vegetable	vegetables
vehicle	vehicles
very	verily
vest	vests,vesting,vested
vet	vets,vetted,vetting
vice	vices
victim	victims
victory	victories
video	videos
view	viewing,viewed,views
viewer	viewers
village	villages
villager	villagers
vinegar	vinegars
violent	violently
violin	violins
violinist	violinists
virtue	virtues
virus	viruses
visa	visas,visaed,visaing
visit	visited,visits,visiting
visitor	visitors
visual	visually
vital	vitally
vivid	vividly
vocabulary	vocabularies
voice	voicing,voiced,voices
volleyball	volleyballs
voluntary	voluntarily,voluntaries
volunteer	volunteered,volunteers,volunteering
vote	votes,voting,voted
voyage	voyaging,voyaged,voyages
wag	wagging,wags,wagged
wage	wages,waging,waged
waist	waists
wait	waiting,waits,waited
waiter	waiters
waitress	waitresses
wake	woken,wakes,waking,waked,woke
walk	walking,walked,walks
wall	walled,walls,walling
wallet	wallets
walnut	walnuts
wander	wandered,wandering,wanders
want	wants,wanting,wanted
war	warring,warred,wars
ward	wards,warding,warded
wardrobe	wardrobes
warehouse	warehouses
warm	warmed,warmly,warmest,warmer,warms,warming
warn	warned,warns,warning
warning	warnings
wash	washing,washes,washed
washroom	washrooms
waste	wasted,wasting,wastes
watch	watched,watches,watching
watchtower	watchtowers
water	waters,watering,watered
watermelon	watermelons
wave	waved,waving,waves
wax	waxing,waxed,waxes
way	ways
wayside	waysides
weak	weakest,weaker,weakly
weakness	weaknesses
wealthy	wealthier,wealthiest,wealthily
wear	wearing,wore,worn,wears
weather	weathered,weathering,weathers
weatherman	weathermen
web	webs
wedding	weddings
weed	weeding,weeded,weeds
week	weeks
weekday	weekdays
weekend	weekended,weekends,weekending
weekly	weeklies
weep	wept,weeps,weeping
weigh	weighed,weighs,weighing
weight	weighting,weighted,weights
welcome	welcomed,welcoming,welcomes
well	wells,better,welled,welling,best
went	go,gone,going,goes
western	westerns
westerner	westerners
wet	wetter,wets,wetted,wetting,wettest
whale	whales,whaling,whaled
wheel	wheels,wheeling,wheeled
while	whiles,whiling,whiled
whisper	whispered,whispering,whispers
whistle	whistles,whistling,whistled
white	whites,whitest,whiter
whole	wholes
why	whys
wide	wider,widest,widely
widely	wider,wide,widest
widow	widows
wife	wives
wild	wildly,wilds,wildest,wilder
will	willed,wills,willing
willing	willingly
willingly	willing
win	wins,winning,won
wind	winds,winding,winded
windbreaker	windbreakers
window	windows
windy	windiest,windily,windier
wine	wining,wined,wines
wing	winging,winged,wings
winner	winners
winter	wintered,wintering,winters
wipe	wiped,wiping,wipes
wire	wiring,wires,wired
wise	wisely,wisest,wiser
wish	wishes,wished,wishing
withdraw	withdraws,withdrawing,withdrew,withdrawn
wolf	wolves,wolfed,wolfs,wolfing
woman	women
women	woman
wonder	wonders,wondered,wondering
wonderful	wonderfully
wood	woods
wool	wools
word	worded,words,wording
work	worked,works,wrought,working
workday	workdays
worker	workers
workforce	workforces
workmate	workmates
workplace	workplaces
works	work,worked,wrought,working
world	worlds
worm	worming,wormed,worms
worn	wearing,wore,wear,wears
worried	worries,worrying,worry
worry	worries,worrying,worried
worse	badly,bad,worst
worst	worsted,worsts,worsting
worthless	worthlessly
worthy	worthier,worthies,worthily,worthiest
wound	wounded,wounds,wounding
wounded	wound,wounds,wounding
wrestle	wrestled,wrestling,wrestles
wrinkle	wrinkled,wrinkling,wrinkles
wrist	wrists
write	writes,written,wrote,writing
writer	writers
writing	writings
wrong	wrongs,wronging,wronged,wrongly
yard	yards
year	years
yell	yells,yelling,yelled
yellow	yellows,yellower,yellowest,yellowing,yellowed
yen	yenning,yenned
yoghurt	yoghurts
young	youngest,younger
youth	youths
zebra	zebras
zero	zeros
zip	zips,zipped,zipping
zipper	zippers
zone	zones,zoning,zoned
zoo	zoos
zoom	zoomed,zooming,zooms
# =========
# aux verbs
be	being,is,am,been,are,were,was
being	beings
is	am,are,were,was
am	is,are,were,was
are	is,am,were
was	were,are,am
were	was,is,am
# ============
# syntax error (esp. prep errors)
many	much
much	many
#form	from
from	form,of
a	an
by	with
with	by
so	such
such	so
in	to,at,into
on	in,at,onto
at	in,on
to	into,onto,for,at
for	to
of	from
before	ago
